SYMBOL,token,,
BANDHANBNK,579329,,
BANG,3917569,,
BANKA,210433,,
BANKBARODA,1195009,,
BANKINDIA,1214721,,
BANSALWIRE,6242817,,
BANSWRAS,3714817,,
BASF,94209,,
BASML,3080705,,
BATAINDIA,94977,,
BAYERCROP,4589313,,
BBL,3522817,,
BBOX,879361,,
BBTC,97281,,
BBTCL,3111169,,
BCG,2263297,,
BCLIND,643329,,
BCONCEPTS,1991681,,
BCPL,194942465,,
BDL,548865,,
BEARDSELL,4590849,,
BECTORFOOD,416769,,
BEDMUTHA,5171201,,
BEL,98049,,
BELLACASA,194032129,,
BELRISE,193818113,,
BEML,101121,,
BEPL,107265,,
BERGEPAINT,103425,,
BESTAGRO,591617,,
BETA,194519553,,
BFINVEST,5404929,,
BFUTILITIE,6625025,,
BGLOBAL,2910977,,
BGRENERGY,3889409,,
BHAGCHEM,1577985,,
BHAGERIA,3430401,,
BHAGYANGR,5318657,,
BHANDARI,5006337,,
BHARATCOAL,194745857,,
BHARATFORG,108033,,
BHARATGEAR,109057,,
BHARATRAS,981505,,
BHARATSE,7742465,,
BHARATWIRE,4127489,,
BHARTIARTL,2714625,,
BHARTIHEXA,6013185,,
BHEL,112129,,
BIGBLOC,4718337,,
BIKAJI,3063297,,
BIL,2009089,,
BILVYAPAR,3487233,,
BIOCON,2911489,,
BIOFILCHEM,1058817,,
BIRLACABLE,122113,,
BIRLACORPN,122881,,
BIRLAMONEY,3901185,,
BIRLANU,372481,,
BLACKBUCK,6948865,,
BLAL,3857153,,
BLBLIMITED,2083585,,
BLISSGVS,4931841,,
BLKASHYAP,3402241,,
BLS,4423425,,
BLSE,5776897,,
BLUECHIP,2214401,,
BLUECOAST,1914881,,
BLUEDART,126721,,
BLUEJET,5039617,,
BLUESTARCO,2127617,,
BLUESTONE,194378497,,
BLUSPRING,193925121,,
BMWVENTLTD,194369537,,
BODALCHEM,6404353,,
BOHRAIND,2980097,,
BOMDYEING,131329,,
BONLON,194830337,,
BORANA,194027521,,
BOROLTD,4966657,,
BORORENEW,806145,,
BOROSCI,6147585,,
BOSCH-HCIL,1149697,,
BOSCHLTD,558337,,
BPCL,134657,,
BPL,135681,,
BRIGADE,3887105,,
BRIGHOTEL,193995265,,
BRITANNIA,140033,,
BRNL,5550849,,
BROOKS,6434817,,
BSE,5013761,,
BSHSL,207105,,
BSL,143105,,
BSOFT,1790465,,
BTML,3622401,,
BUILDPRO,194712065,,
BUTTERFLY,695297,,
BVCL,3858689,,
BYKE,2027265,,
CALSOFT,2135297,,
CAMLINFINE,1591297,,
CAMPUS,2396673,,
CAMS,87553,,
CANBK,2763265,,
CANFINHOME,149249,,
CANHLIFE,194426113,,
CANTABIL,5160961,,
CAPACITE,5567745,,
CAPILLARY,194525953,,
CAPITALSFB,5804801,,
CAPLIPOINT,999937,,
CAPTRUST,4979457,,
CARBORUNIV,152321,,
CARERATING,7452929,,
CARRARO,7393025,,
CARTRADE,1384193,,
CARYSIL,481025,,
CASTROLIND,320001,,
CCAVENUE,4159745,,
CCCL,3837953,,
CCHHL,1634561,,
CCL,2931713,,
CDSL,5420545,,
CEATLTD,3905025,,
CEIGALL,6333953,,
CEINSYS,194825473,,
CELEBRITY,3369473,,
CELLO,5067521,,
CEMPRO,1439233,,
CENTENKA,158465,,
CENTEXT,2946817,,
CENTRALBK,3812865,,
CENTRUM,628225,,
CENTUM,3835393,,
CENTURYPLY,3406081,,
CERA,3849985,,
CEREBRAINT,7428097,,
CESC,160769,,
CEWATER,7363585,,
CGCL,5204225,,
CGPOWER,194561,,
CHALET,2187777,,
CHAMBLFERT,163073,,
CHEMBOND,3742209,,
CHEMBONDCH,194045185,,
CHEMCON,69121,,
CHEMFAB,716545,,
CHEMPLASTS,1394945,,
CHENNPETRO,524545,,
CHEVIOT,2529025,,
CHOICEIN,2269697,,
CHOLAFIN,175361,,
CHOLAHLDNG,5565441,,
CIEINDIA,3823873,,
CIFL,193539841,,
CIGNITITEC,1316353,,
CINELINE,6953217,,
CINEVISTA,2054145,,
CIPLA,177665,,
CLCIND,3544577,,
CLEAN,1292545,,
CLEANMAX,194606849,,
CLEDUCATE,5179649,,
CLSEL,891393,,
CMICABLES,5037057,,
CMPDI,194964737,,
CMSINFO,1946369,,
CNL,2855681,,
COALINDIA,5215745,,
COASTCORP,1537537,,
COCHINSHIP,5506049,,
COFFEEDAY,2858241,,
COFORGE,2955009,,
COHANCE,4593921,,
COLPAL,3876097,,
COMPINFO,5035521,,
COMPUSOFT,7971329,,
COMSYN,5523969,,
CONCOR,1215745,,
CONCORDBIO,4623361,,
CONFIPET,2620929,,
CONSOFINVT,3003393,,
CONTROLPR,4474113,,
CORALFINAC,1025793,,
CORDSCABLE,3909377,,
COROMANDEL,189185,,
CORONA,194625025,,
COSMOFIRST,189953,,
COUNCODOS,4348417,,
CPCAP,5142017,,
CPEDU,194288897,,
CPPLUS,194267649,,
CRAFTSMAN,730625,,
CRAMC,194383617,,
CREATIVEYE,2402305,,
CREDITACC,1131777,,
CREST,3558401,,
CRISIL,193793,,
CRIZAC,194009601,,
CROMPTON,4376065,,
CROWN,2069249,,
CSBBANK,3831297,,
CSLFINANCE,2649601,,
CTE,3639809,,
CUB,1459457,,
CUBEXTUB,1040385,,
CUMMINSIND,486657,,
CUPID,4741121,,
CURAA,7728897,,
CYBERMEDIA,3031553,,
CYBERTECH,1549057,,
CYIENT,1471489,,
CYIENTDLM,4399873,,
DABUR,197633,,
DALBHARAT,2067201,,
DALMIASUG,199937,,
DAMCAPITAL,7337473,,
DAMODARIND,4490497,,
DANGEE,284161,,
DATAMATICS,2924289,,
DATAPATTNS,1883649,,
DAVANGERE,5579265,,
DBCORP,4577537,,
DBEIL,6628353,,
DBL,4630017,,
DBOL,2788609,,
DBREALTY,4639745,,
DBSTOCKBRO,7963393,,
DCAL,5556225,,
DCBBANK,3513601,,
DCI,2961409,,
DCM,206081,,
DCMFINSERV,2228225,,
DCMNVL,2825985,,
DCMSHRIRAM,207617,,
DCMSIL,194789889,,
DCMSRIND,1875201,,
DCW,209153,,
DCXINDIA,3045121,,
DDEVPLSTIK,7449089,,
DECCANCE,3798529,,
DEEDEV,6183425,,
DEEPAKFERT,211713,,
DEEPAKNTR,5105409,,
DEEPINDS,842753,,
DELHIVERY,2457345,,
DELPHIFX,6244097,,
DELTACORP,3851265,,
DELTAMAGNT,310785,,
DEN,4536833,,
DENORA,1095425,,
DENTA,7489537,,
DEVIT,2085377,,
DEVX,194324225,,
DEVYANI,1375489,,
DGCONTENT,2648577,,
DHAMPURSUG,219393,,
DHANBANK,2907905,,
DHANUKA,6248705,,
DHARAN,194355969,,
DHARMAJ,3328257,,
DHRUV,1755649,,
DHUNINV,5691649,,
DIACABS,4747009,,
DIAMINESQ,4772865,,
DIAMONDYD,5591041,,
DICIND,179969,,
DIFFNKG,6572033,,
DIGIDRIVE,5439233,,
DIGISPICE,4270849,,
DIGITIDE,193923841,,
DIGJAMLMTD,1568513,,
DIL,194678273,,
DISHTV,3721473,,
DIVGIITTS,3706625,,
DIVISLAB,2800641,,
DIXON,5552641,,
DJML,3264769,,
DLF,3771393,,
DLINKINDIA,4569857,,
DMART,5097729,,
DMCC,1785089,,
DNAMEDIA,164097,,
DODLA,1234433,,
DOLATALGO,3103745,,
DOLLAR,5263361,,
DOLPHIN,4643585,,
DOMS,5261057,,
DONEAR,3542785,,
DPABHUSHAN,239617,,
DPSCLTD,3947265,,
DPWIRES,4326401,,
DRCSYSTEMS,677121,,
DREAMFOLKS,2779905,,
DREDGECORP,2885377,,
DRREDDY,225537,,
DSFCL,194788097,,
DSSL,6576641,,
DTIL,1594113,,
DUCON,7412737,,
DVL,3894785,,
DWARKESH,2986753,,
DYCL,2666753,,
DYNAMATECH,1158401,,
DYNPRO,5456385,,
E2E,2288641,,
EASEMYTRIP,714753,,
EASTSILK,2500865,,
EBGNG,194012673,,
ECLERX,3885825,,
ECOSMOBLTY,6415361,,
EDELWEISS,3870465,,
EDUCOMP,5567233,,
EFCIL,194220801,,
EICHERMOT,232961,,
EIDPARRY,234497,,
EIEL,6966529,,
EIFFL,1546241,,
EIHAHOTELS,3942145,,
EIHOTEL,235265,,
EIMCOELECO,1034241,,
EKC,3351297,,
ELDEHSG,2291969,,
ELECON,3492609,,
ELECTCAST,237569,,
ELECTHERM,1144065,,
ELGIEQUIP,239873,,
ELGIRUBCO,6380545,,
ELIN,3436289,,
ELLEN,194192129,,
EMAMILTD,3460353,,
EMAMIPAP,2578945,,
EMAMIREAL,4934913,,
EMBDL,3699969,,
EMCURE,6245889,,
EMIL,2951681,,
EMKAY,3435777,,
EMMBI,4644353,,
EMMVEE,194490369,,
EMSLIMITED,4759809,,
EMUDHRA,2497537,,
ENDURANCE,4818433,,
ENERGYDEV,3852545,,
ENGINERSIN,1256193,,
ENIL,3377153,,
ENRIN,193758977,,
ENTERO,5815553,,
EPACK,5750529,,
EPACKPEB,194368257,,
EPIGRAL,1377793,,
EPL,251137,,
EQUIPPP,909569,,
EQUITASBNK,233729,,
ERIS,5415425,,
ESABINDIA,244481,,
ESAFSFB,5088769,,
ESCORTS,245249,,
ESSARSHPNG,6562305,,
ESSENTIA,7762689,,
ESTER,6211841,,
ETERNAL,1304833,,
ETHOSLTD,2496001,,
EUREKAFORB,6441473,,
EUROBOND,194035969,,
EUROPRATIK,194508033,,
EUROTEXIND,255745,,
EVEREADY,3016193,,
EVERESTIND,254209,,
EXCELINDUS,2936577,,
EXCELSOFT,194561793,,
EXICOM,5874433,,
EXIDEIND,173057,,
EXPLEOSOL,4476417,,
EXXARO,1370113,,
FABTECH,194592001,,
FACT,258049,,
FAIRCHEMOR,413185,,
FAZE3Q,3073537,,
FCL,1586689,,
FCONSUMER,194688001,,
FCSSOFT,3071745,,
FDC,1253889,,
FEDERALBNK,261889,,
FEDFINA,5202433,,
FEL,3535873,,
FELDVR,7805697,,
FIBERWEB,2089473,,
FIEMIND,3509761,,
FILATEX,6280193,,
FILATFASH,6053633,,
FINCABLES,265729,,
FINEORG,958465,,
FINKURVE,194365185,,
FINOPB,1684225,,
FINPIPE,266497,,
FIRSTCRY,6352385,,
FISCHER,193960449,,
FIVESTAR,3080193,,
FLAIR,5215233,,
FLEXITUFF,6531073,,
FLFL,3806209,,
FLUOROCHEM,3520001,,
FMGOETZE,304641,,
FMNL,5380353,,
FOCUS,1750017,,
FOODSIN,1708289,,
FORCEMOT,2962689,,
FORTIS,3735553,,
FOSECOIND,274689,,
FRACTAL,194806017,,
FSL,3661825,,
FUSION,3054593,,
GABRIEL,277761,,
GAEL,2259969,,
GAIL,1207553,,
GALAPREC,6434305,,
GALAXYSURF,336641,,
GALLANTT,3414273,,
GANDHAR,5197569,,
GANDHITUBE,3613697,,
GANECOS,1777665,,
GANESHBE,1437185,,
GANESHCP,194307073,,
GANESHHOU,3670785,,
GANGAFORGE,1268993,,
GANGESSECU,5478145,,
GARFIBRES,281601,,
GARUDA,6604801,,
GATECH,4579329,,
GATECHDVR,4353,,
GATEWAY,2178561,,
GAUDIUMIVF,194605569,,
GAYAHWS,945409,,
GAYAPROJ,6406913,,
GCSL,194300417,,
GEECEE,3496449,,
GEEKAYWIRE,4588033,,
GEMAROMA,194422529,,
GENCON,560129,,
GENESYS,2791681,,
GENSOL,194263553,,
GENUSPAPER,1689601,,
GENUSPOWER,3047681,,
GEOJITFSL,3045377,,
GESHIP,3526657,,
GFLLIMITED,329985,,
GFSTEELS,2836225,,
GHCL,288513,,
GHCLTEXTIL,4274177,,
GICHSGFIN,291585,,
GICL,194822401,,
GICRE,70913,,
GILLANDERS,4566785,,
GILLETTE,403457,,
GINNIFILA,292353,,
GIPCL,293121,,
GKENERGY,194316289,,
GKSL,194866433,,
GKWLIMITED,4443393,,
GLAND,303617,,
GLAXO,295169,,
GLENMARK,1895937,,
GLFL,295937,,
GLOBAL,362241,,
GLOBALE,6382593,,
GLOBALVECT,3516161,,
GLOBE,100609,,
GLOBECIVIL,194194433,,
GLOBUSSPR,4460545,,
GLOSTERLTD,6039041,,
GLOTTIS,194589697,,
GMBREW,299009,,
GMDCLTD,1332225,,
GMMPFAUDLR,401921,,
GMRAIRPORT,3463169,,
GMRP&UI,2183425,,
GNA,4754177,,
GNFC,300545,,
GOACARBON,3759873,,
GOCLCORP,1014529,,
GOCOLORS,1782785,,
GODAVARIB,6640897,,
GODFRYPHLP,302337,,
GODIGIT,6092545,,
GODREJAGRO,36865,,
GODREJCP,2585345,,
GODREJIND,2796801,,
GODREJPROP,4576001,,
GOKEX,3015169,,
GOKUL,4276481,,
GOKULAGRO,3706881,,
GOLDENTOBC,2974465,,
GOLDIAM,3064577,,
GOLDTECH,2527745,,
GOODLUCK,1568001,,
GOPAL,5904897,,
GOYALALUM,3017473,,
GPIL,3432705,,
GPPL,5051137,,
GPTHEALTH,5848577,,
GPTINFRA,4527361,,
GRANULES,3039233,,
GRAPHITE,151553,,
GRASIM,315393,,
GRAVITA,5256705,,
GREAVESCOT,316161,,
GREENLAM,1753089,,
GREENPANEL,3535361,,
GREENPLY,1020673,,
GREENPOWER,5148161,,
GRINDWELL,3471361,,
GRINFRA,1293825,,
GRMOVER,2782977,,
GROBTEA,4549121,,
GROWW,194510337,,
GRPLTD,1675009,,
GRSE,1401601,,
GRWRHITECH,2043393,,
GSFC,319233,,
GSLSU,3737345,,
GSPCROP,195133185,,
GSPL,3378433,,
GSS,3928833,,
GTECJAINX,289025,,
GTL,297473,,
GTLINFRA,3518721,,
GTPL,5425921,,
GUFICBIO,2971137,,
GUJALKALI,324353,,
GUJAPOLLO,3757313,,
GUJGASLTD,2713345,,
GUJRAFFIA,1164289,,
GUJTHEM,7611137,,
GULFOILLUB,1124097,,
GULFPETRO,2964737,,
GULPOLY,1609217,,
GVKPIL,3386625,,
GVPIL,2013697,,
GVPTECH,2781441,,
GVT&D,4296449,,
HAL,589569,,
HALDER,194743041,,
HALEOSLABS,5517057,,
HAPPSTMNDS,12289,,
HAPPYFORGE,5338625,,
HARDWYN,2294273,,
HARIOMPIPE,2295809,,
HARRMALAYA,336129,,
HARSHA,2857473,,
HATHWAY,4647425,,
HATSUN,996353,,
HAVELLS,2513665,,
HAVISHA,1908993,,
HBLENGINE,3575297,,
HBSL,1053697,,
HCC,352001,,
HCG,3982081,,
HCL-INSYS,339713,,
HCLTECH,1850625,,
HDBFS,193989633,,
HDFCAMC,1086465,,
HDFCBANK,341249,,
HDFCLIFE,119553,,
HDIL,4587521,,
HEADSUP,4916481,,
HECPROJECT,1900801,,
HEG,342017,,
HEIDELBERG,592897,,
HEMIPROP,179457,,
HERANBA,669185,,
HERITGFOOD,1177089,,
HEROMOTOCO,345089,,
HESTERBIO,1804289,,
HEXATRADEX,6914049,,
HEXT,7594497,,
HFCL,5619457,,
HGINFRA,428033,,
HGM,3479553,,
HGS,3766273,,
HIKAL,2475009,,
HILINFRA,194330369,,
HILTON,3744513,,
HIMATSEIDE,348161,,
HINDALCO,348929,,
HINDCOMPOS,351233,,
HINDCON,1259521,,
HINDCOPPER,4592385,,
HINDOILEXP,359169,,
HINDPETRO,359937,,
HINDUNILVR,356865,,
HINDWAREAP,4066049,,
HINDZINC,364545,,
HIRECT,3555841,,
HISARMETAL,4946433,,
HITECH,734209,,
HITECHCORP,3881217,,
HITECHGEAR,2193409,,
HLEGLAS,585985,,
HLVLTD,370689,,
HMAAGRO,4365569,,
HMT,5042689,,
HMVL,4918017,,
HNDFDS,3116289,,
HOMEFIRST,526337,,
HONASA,5072129,,
HONAUT,874753,,
HONDAPOWER,803329,,
HPAL,1888257,,
HPIL,3019777,,
HPL,4781825,,
HSCL,3669505,,
HTMEDIA,3066625,,
HUBTOWN,3635969,,
HUDCO,5331201,,
HUHTAMAKI,655873,,
HYBRIDFIN,3279105,,
HYUNDAI,6616065,,
IBULLSLTD,6399745,,
ICDSLTD,2460161,,
ICEMAKE,125185,,
ICICIAMC,194664193,,
ICICIBANK,1270529,,
ICICIGI,5573121,,
ICICIPRULI,4774913,,
ICIL,3068673,,
ICRA,3717889,,
IDBI,377857,,
IDEA,3677697,,
IDEAFORGE,4387841,,
IDFCFIRSTB,2863105,,
IEX,56321,,
IFBAGRO,379393,,
IFBIND,380161,,
IFCI,381697,,
IFGLEXPOR,111617,,
IGARASHI,162305,,
IGCL,193997057,,
IGIL,7264769,,
IGL,2883073,,
IGPL,3606017,,
IIFL,3023105,,
IIFLCAPS,3346433,,
IITL,4998401,,
IKIO,4306433,,
IKS,7200001,,
IL&FSENGG,2401281,,
IL&FSTRANS,2401537,,
IMAGICAA,1964033,,
IMFA,4924161,,
IMPAL,3074305,,
IMPEXFERRO,6625537,,
INA,194841345,,
INCREDIBLE,4481793,,
INDBANK,4334849,,
INDGN,6065409,,
INDHOTEL,387073,,
INDIACEM,387841,,
INDIAGLYCO,389377,,
INDIAMART,2745857,,
INDIANB,3663105,,
INDIANCARD,1132033,,
INDIANHUME,391681,,
INDIASHLTR,5262337,,
INDIGO,2865921,,
INDIGOPNTS,524289,,
INDIQUBE,194008321,,
INDNIPPON,1215233,,
INDOAMIN,2333697,,
INDOBORAX,2205185,,
INDOCO,2989313,,
INDOFARM,7430401,,
INDORAMA,2814209,,
INDOSTAR,790529,,
INDOTECH,3398401,,
INDOTHAI,6555649,,
INDOUS,6528769,,
INDOWIND,3827713,,
INDRAMEDCO,1216257,,
INDSWFTLAB,1246721,,
INDTERRAIN,5620993,,
INDUSINDBK,1346049,,
INDUSTOWER,7458561,,
INFOBEAN,2822913,,
INFOMEDIA,3505409,,
INFY,408065,,
INGERRAND,408833,,
INNOVACAP,5391873,,
INNOVANA,7105025,,
INNOVISION,194951169,,
INOXGREEN,3120129,,
INOXINDIA,5275393,,
INOXWIND,2010113,,
INSECTICID,3752193,,
INSPIRISYS,3515905,,
INTELLECT,1517057,,
INTENTECH,5138177,,
INTERARCH,6376705,,
INTLCONV,1435137,,
INVENTURE,6366721,,
IOB,2393089,,
IOC,415745,,
IOLCP,5225729,,
IONEXCHANG,417281,,
IPCALAB,418049,,
IPL,1263105,,
IRB,3920129,,
IRCON,1276417,,
IRCTC,3484417,,
IREDA,5186817,,
IRFC,519425,,
IRIS,1661185,,
IRISDOREME,582401,,
IRMENERGY,5016833,,
ISFT,4730625,,
ISGEC,852225,,
ISHANCH,7743745,,
ITC,424961,,
ITCHOTELS,7488257,,
ITDC,4940545,,
ITI,428801,,
IVALUE,194314497,,
IVC,1718017,,
IVP,430337,,
IXIGO,6161153,,
IZMO,3629569,,
J&KBANK,1442049,,
JAGRAN,3382017,,
JAGSNPHARM,1128961,,
JAIBALAJI,2881537,,
JAICORPLTD,1316609,,
JAINREC,194366465,,
JAIPURKURT,1412097,,
JAMNAAUTO,5319169,,
JARO,194547457,,
JASH,3579393,,
JAYAGROGN,1034497,,
JAYBARMARU,437249,,
JAYKAY,194578689,,
JAYNECOIND,596737,,
JAYSREETEA,440321,,
JBCHEPHARM,441857,,
JBMA,2983681,,
JETFREIGHT,1846017,,
JGCHEM,5902337,,
JHS,3512321,,
JINDALPHOT,3006209,,
JINDALPOLY,449537,,
JINDALSAW,774145,,
JINDALSTEL,1723649,,
JINDRILL,3552001,,
JINDWORLD,5284353,,
JIOFIN,4644609,,
JISLDVREQS,6575105,,
JISLJALEQS,2661633,,
JITFINFRA,5041921,,
JKCEMENT,3397121,,
JKIL,3908097,,
JKIPL,194356481,,
JKLAKSHMI,3453697,,
JKPAPER,3036161,,
JKTYRE,3695361,,
JLHL,4749569,,
JMA,1819905,,
JMFINANCIL,3491073,,
JNKINDIA,6046977,,
JOCIL,4333313,,
JPOLYINVST,8065793,,
JPPOWER,3011329,,
JSFB,5801729,,
JSL,2876417,,
JSLL,194077441,,
JSWCEMENT,194165761,,
JSWENERGY,4574465,,
JSWHL,3041281,,
JSWINFRA,4869121,,
JSWSTEEL,3001089,,
JTEKTINDIA,828673,,
JTLIND,1865473,,
JUBLCPL,7575041,,
JUBLFOOD,4632577,,
JUBLINGREA,712449,,
JUBLPHARMA,931073,,
JUNIPER,5842945,,
JUSTDIAL,7670273,,
JWL,5177345,,
JYOTHYLAB,3877377,,
JYOTICNC,5461505,,
JYOTISTRUC,461313,,
KABRAEXTRU,462081,,
KAJARIACER,462849,,
KAKATCEM,463617,,
KALAMANDIR,4801281,,
KALPATARU,194190849,,
KALYANI,5031169,,
KALYANIFRG,3879937,,
KALYANKJIL,756481,,
KAMATHOTEL,467457,,
KAMDHENU,3444993,,
KAMOPAINTS,3536385,,
KANANIIND,6601217,,
KANORICHEM,469761,,
KANPRPLA,456193,,
KANSAINER,306177,,
KAPSTON,4856065,,
KARMAENG,6242561,,
KARURVYSYA,470529,,
KAUSHALYA,3874817,,
KAVDEFENCE,3903489,,
KAYA,2630657,,
KAYNES,3095553,,
KCP,471297,,
KCPSUGIND,1231105,,
KDDL,3816449,,
KEC,3394561,,
KECL,4664321,,
KEEPLEARN,199169,,
KEI,3407361,,
KELLTONTEC,3438081,,
KERNEX,3358977,,
KESORAMIND,475905,,
KEYFINSERV,1064193,,
KFINTECH,3419905,,
KHADIM,108801,,
KHAICHEM,229377,,
KHAITANLTD,1001473,,
KHANDSE,2468097,,
